img,zone_id,quete,groupe,check,week,question,points,difficulté,type,zone_name,longitude,latitude,date,Make,Aperture,Model,ApertureValue,label,inzone
100_6_3.jpg,6,100,3,0,1,Trouvez des fleurs à anthères bleues,2,moyen,végétal,Lauzelle-Centre,4.60945892333333,50.6664466855556,2019:04:25 16:28:49,HUAWEI,2.2,PRA-LX1,2.1961856275741,<p>Cette quête à été trouvée par le groupe <b>3</b>,2
100_8_41.jpg,8,100,41,0,1,Trouvez des fleurs à anthères bleues,2,moyen,végétal,Biéreau-Baraque,4.62093055555556,50.6675444444444,2019:04:24 09:48:23,Apple,1.8,iPhone 8,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>41</b>,0
100_8_Roquette.jpg,8,100,Roquette,1,1,Trouvez des fleurs à anthères bleues,2,moyen,végétal,Biéreau-Baraque,4.62242222222222,50.6711194444444,2019:04:25 13:06:48,Apple,1.8,iPhone 8,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>Roquette</b>,0
101_4_92.jpg,4,101,92,4,1,Trouvez des fleurs à sépales poilus,1,facile,végétal,Bruyères,4.60972222222222,50.665,2019:04:25 12:24:36,samsung,1.7,SM-G950F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>92</b>,2
102_1_38.JPG,1,102,38,1,1,Trouvez des akènes,1,facile,végétal,Bois de Lauzelle,4.60638888888889,50.6751472222222,2019:04:26 14:35:58,Apple,1.8,iPhone 8,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>38</b>,2
102_1_88.JPG,1,102,88,1,1,Trouvez des akènes,1,facile,végétal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>88</b>,0
102_3_76.jpg,3,102,76,1,1,Trouvez des akènes,1,facile,végétal,Lac,4.60527777777778,50.6644444444444,2019:04:24 11:14:10,samsung,2.4,SM-G960F,2.39495740923786,<p>Cette quête à été trouvée par le groupe <b>76</b>,2
102_6_12.jpg,6,102,12,1,1,Trouvez des akènes,1,facile,végétal,Lauzelle-Centre,4.61944444444444,50.6697222222222,2019:04:26 13:41:58,samsung,1.7,SM-J530F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>12</b>,0
102_6_5.jpg,6,102,5,1,1,Trouvez des akènes,1,facile,végétal,Lauzelle-Centre,4.61101669444444,50.6673088055556,2019:04:26 14:28:39,Acer,1.8,T06,NA,<p>Cette quête à été trouvée par le groupe <b>5</b>,2
102_6_94.jpg,6,102,94,1,1,Trouvez des akènes,1,facile,végétal,Lauzelle-Centre,4.61971616722222,50.6752548216667,2019:04:26 11:37:08,HUAWEI,2.2,ANE-LX1,2.1961856275741,<p>Cette quête à été trouvée par le groupe <b>94</b>,0
102_8_40.jpg,8,102,40,1,1,Trouvez des akènes,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>40</b>,0
102_8_49.jpg,8,102,49,1,1,Trouvez des akènes,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>49</b>,0
102_8_75.jpg,8,102,75,1,1,Trouvez des akènes,1,facile,végétal,Biéreau-Baraque,4.6161227225,50.6642341611111,2019:04:24 08:35:31,HUAWEI,1.8,JSN-L21,1.79626474576787,<p>Cette quête à été trouvée par le groupe <b>75</b>,2
102_8_8.jpeg,8,102,8,-3,1,Trouvez des akènes,1,facile,végétal,Biéreau-Baraque,NA,NA,2019:04:26 13:05:40,Apple,2.2,iPhone 5s,2.2000000590909,<p>Cette quête à été trouvée par le groupe <b>8</b>,0
